operator_id,calls_missed_ratio,avg_wait_time,calls_out_ratio,calls_in_ratio,internal_calls_ratio,crit_calls_missed,crit_wait_time,crit_low_outbound,crit_low_inbound,crit_high_internal,inefficiency_score,criterios_negativos,efficiency_class,uso_interno_excesivo,efficiency_binary
895598,0.0,9.0,40.0,60.0,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
895774,0.0,23.666666666666668,88.98305084745762,11.016949152542372,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
895776,8.333333333333332,17.5,95.2191235059761,4.780876494023905,1.8867924528301887,1,0,0,0,0,1,1,Eficiente,False,1.0
895782,0.0,31.125,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
895786,0.0,59.5,0.0,100.0,0.0,0,1,1,0,0,2,2,Potencialmente ineficiente,False,
896010,0.0,26.571428571428573,28.57142857142857,71.42857142857143,10.0,0,0,0,0,0,0,0,Eficiente,False,1.0
896012,0.4098360655737705,23.725806451612904,0.0,100.0,0.0,1,0,1,0,0,2,2,Potencialmente ineficiente,False,
896014,0.0,15.75,36.36363636363637,63.63636363636363,11.11111111111111,0,0,0,0,0,0,0,Eficiente,False,1.0
896016,0.0,19.0,78.15384615384615,21.846153846153847,35.97122302158273,0,0,0,0,1,1,1,Eficiente,True,1.0
896018,0.0,27.125,52.94117647058824,47.05882352941176,33.33333333333333,0,0,0,0,1,1,1,Eficiente,True,1.0
896020,0.0,5.0,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
896382,0.0,39.09090909090909,91.58878504672896,8.411214953271028,9.67741935483871,0,0,0,0,0,0,0,Eficiente,False,1.0
896428,0.0,23.625,88.9423076923077,11.057692307692308,5.128205128205128,0,0,0,0,0,0,0,Eficiente,False,1.0
896430,0.0,13.0,93.33333333333331,6.666666666666667,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
896536,1.098901098901099,56.46268656716418,0.0,100.0,4.477611940298507,1,1,1,0,0,3,3,Ineficiente,False,0.0
